"endTime","artistName","trackName","msPlayed"
"2019-10-04 11:45","NF","Trauma","120990"
"2019-10-04 14:34","Token","Stop Hitting Me","10"
"2019-10-04 14:38","Token","Mommas Favorite Chair","163227"
"2019-10-04 14:39","Token","Shyea","8467"
"2019-10-04 14:44","Token","Somewhere In Between","310252"
"2019-10-04 14:46","Token","No Service","120336"
"2019-10-04 14:46","Token","Mail (Outro)","28820"
"2019-10-04 14:47","Token","Rich For You","58507"
"2019-10-04 15:08","Mads Veslelia","Sly","251679"
"2019-10-04 15:08","Mads Veslelia","Sly","27950"
"2019-10-04 15:10","Mads Veslelia","Breakout","101847"
"2019-10-04 15:16","Mads Veslelia","Blackout","336966"
"2019-10-04 15:17","Mads Veslelia","Me and My Shadow","89599"
"2019-10-04 15:18","Mads Veslelia","Legend in the Making","18881"
"2019-10-04 15:22","Mads Veslelia","Dumb Kid","261512"
"2019-10-04 15:22","Mads Veslelia","Bad Motherfucker","2850"
"2019-10-04 15:25","Mads Veslelia","Scarface of Facebook","184355"
"2019-10-04 15:25","Mads Veslelia","Who I Am","117"
"2019-10-04 15:25","Mads Veslelia","Brothers","0"
"2019-10-04 15:32","Mads Veslelia","I Don't Fuck Around","233717"
"2019-10-04 15:33","Mads Veslelia","Hypeman - skit","29220"
"2019-10-04 15:33","Mads Veslelia","Wannabe","797"
"2019-10-04 15:34","Mads Veslelia","Murder Attempt","52227"
"2019-10-04 15:36","Mads Veslelia","In My Room","117956"
"2019-10-04 15:40","NF","The Search","269252"
"2019-10-05 15:19","NF","Wake Up","3707"
"2019-10-05 15:19","NF","Just Being Me","3745"
"2019-10-05 15:19","NF","Only One","5070"
"2019-10-05 15:19","NF","Thing Called Love","337530"
"2019-10-05 15:24","NF","WHY","283292"
"2019-10-05 15:30","NF","Options","371192"
"2019-10-05 15:30","NF","Like This","690"
"2019-10-05 15:34","NF","I Miss The Days","1180"
"2019-10-05 15:34","NF","No Excuses","221171"
"2019-10-05 15:39","NF","I Miss The Days","227"
"2019-10-05 15:39","NF","Hate Myself","300563"
"2019-10-05 15:39","NF","No Excuses","284"
"2019-10-05 15:43","NF","I Miss The Days","242389"
"2019-10-05 15:43","NF","Hate Myself","660"
"2019-10-05 15:43","NF","-Interlude-","50"
